Title:               Personal Consumption Expenditures: Chain-type Price Index
1973-07-01   24.005
1973-10-01   24.496
1974-01-01   25.225
1974-04-01   25.939
1974-07-01   26.639
1974-10-01   27.316
1975-01-01   27.830
1975-04-01   28.172
1975-07-01   28.699
1975-10-01   29.180
1976-01-01   29.502
1976-04-01   29.749
1976-07-01   30.200
1976-10-01   30.678
1977-01-01   31.231
1977-04-01   31.766
1977-07-01   32.243
1977-10-01   32.702
1978-01-01   33.238
1978-04-01   33.921
1978-07-01   34.517
1978-10-01   35.169
1979-01-01   35.831
1979-04-01   36.810
1979-07-01   37.724
1979-10-01   38.637
1980-01-01   39.797
1980-04-01   40.771
1980-07-01   41.724
1980-10-01   42.757
1981-01-01   43.866
1981-04-01   44.601
1981-07-01   45.336
1981-10-01   46.031
1982-01-01   46.616
1982-04-01   47.064
1982-07-01   47.808
1982-10-01   48.335
1983-01-01   48.735
1983-04-01   49.180
1983-07-01   49.827
1983-10-01   50.156
1984-01-01   50.698
1984-04-01   51.189
1984-07-01   51.584
1984-10-01   51.902
1985-01-01   52.514
1985-04-01   52.940
1985-07-01   53.355
1985-10-01   53.727
1986-01-01   54.108
1986-04-01   54.051
1986-07-01   54.336
1986-10-01   54.665
1987-01-01   55.179
1987-04-01   55.711
1987-07-01   56.239
1987-10-01   56.725
1988-01-01   57.173
1988-04-01   57.805
1988-07-01   58.517
1988-10-01   59.108
1989-01-01   59.787
1989-04-01   60.593
1989-07-01   60.950
1989-10-01   61.430
1990-01-01   62.320
1990-04-01   62.886
1990-07-01   63.685
1990-10-01   64.527
1991-01-01   64.866
1991-04-01   65.221
1991-07-01   65.664
1991-10-01   66.140
1992-01-01   66.555
1992-04-01   66.998
1992-07-01   67.425
1992-10-01   67.895
1993-01-01   68.299
1993-04-01   68.758
1993-07-01   69.057
1993-10-01   69.455
1994-01-01   69.704
1994-04-01   70.093
1994-07-01   70.596
1994-10-01   70.927
1995-01-01   71.274
1995-04-01   71.689
1995-07-01   71.981
1995-10-01   72.298
1996-01-01   72.700
1996-04-01   73.187
1996-07-01   73.499
1996-10-01   73.999
1997-01-01   74.326
1997-04-01   74.512
1997-07-01   74.709
1997-10-01   74.943
1998-01-01   74.949
1998-04-01   75.084
1998-07-01   75.317
1998-10-01   75.515
1999-01-01   75.713
1999-04-01   76.127
1999-07-01   76.530
1999-10-01   76.982
2000-01-01   77.625
2000-04-01   77.973
2000-07-01   78.455
2000-10-01   78.888
2001-01-01   79.423
2001-04-01   79.795
2001-07-01   79.842
2001-10-01   79.892
2002-01-01   80.041
2002-04-01   80.651
2002-07-01   81.045
2002-10-01   81.420
2003-01-01   81.994
2003-04-01   82.015
2003-07-01   82.522
2003-10-01   82.901
2004-01-01   83.589
2004-04-01   84.162
2004-07-01   84.586
2004-10-01   85.309
2005-01-01   85.795
2005-04-01   86.310
2005-07-01   87.232
2005-10-01   87.913
2006-01-01   88.359
2006-04-01   89.069
2006-07-01   89.711
2006-10-01   89.559
2007-01-01   90.406
2007-04-01   91.139
2007-07-01   91.653
2007-10-01   92.553
2008-01-01   93.329
2008-04-01   94.289
2008-07-01   95.266
2008-10-01   93.836
2009-01-01   93.274
2009-04-01   93.693
2009-07-01   94.340
2009-10-01   95.070
2010-01-01   95.395
2010-04-01   95.503
2010-07-01   95.671
2010-10-01   96.250
2011-01-01   97.091
2011-04-01   98.048
2011-07-01   98.523
2011-10-01   98.860
2012-01-01   99.538
2012-04-01   99.776
2012-07-01  100.062
2012-10-01  100.624
2013-01-01  100.982
2013-04-01  101.057
2013-07-01  101.466
2013-10-01  101.880
2014-01-01  102.357
2014-04-01  102.846
2014-07-01  103.123
2014-10-01  102.992
2015-01-01  102.542
2015-04-01  103.048
2015-07-01  103.339
2015-10-01  103.253
2016-01-01  103.297
2016-04-01  103.910
2016-07-01  104.344
2016-10-01  104.812
2017-01-01  105.355
2017-04-01  105.596
2017-07-01  106.033
2017-10-01  106.733
2018-01-01  107.401
2018-04-01  107.988
2018-07-01  108.413
2018-10-01  108.772
2019-01-01  108.879
2019-04-01  109.522
2019-07-01  109.928
2019-10-01  110.301
2020-01-01  110.650
